YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1936,-1.92,-4.91,5.61,7.57,16.10,19.34,21.93,21.16,17.20,12.68,4.37,1.78,-2.66,9.76,20.81,11.42,9.83
1937,3.14,0.82,1.32,7.52,15.21,19.26,23.05,23.79,17.33,11.62,6.79,-0.33,1.91,8.02,22.03,11.91,10.97
1938,-2.13,-0.70,4.03,9.39,13.30,19.68,22.18,23.20,16.89,13.45,8.08,1.13,-1.05,8.91,21.69,12.81,10.59
1939,-2.23,0.27,0.63,6.56,13.61,18.74,22.42,23.28,18.10,12.33,4.90,0.79,-0.28,6.93,21.48,11.78,9.98
1940,-5.01,-1.34,0.62,6.42,13.48,18.39,21.96,20.25,17.38,10.31,6.05,1.23,-1.85,6.84,20.20,11.25,9.11
1941,-3.77,-1.52,0.71,10.82,15.42,20.03,21.85,21.38,18.84,13.24,8.83,1.66,-1.35,8.98,21.09,13.64,10.59
1942,-2.01,-2.74,4.78,9.75,15.86,19.57,21.63,21.40,17.98,13.14,6.29,-2.06,-1.03,10.13,20.87,12.47,10.61
1943,-3.78,-0.95,2.05,6.16,14.05,21.58,23.22,21.49,17.04,11.95,6.14,-1.58,-2.26,7.42,22.10,11.71,9.74
1944,-0.79,-1.53,0.96,6.83,17.13,19.24,23.04,23.52,18.14,11.87,6.01,-0.86,-1.30,8.31,21.93,12.01,10.24
1945,-4.80,-1.03,7.76,11.17,12.64,18.98,21.94,21.30,19.27,11.51,7.31,-2.16,-2.23,10.52,20.74,12.70,10.43
1946,-2.25,-2.65,8.21,7.63,14.23,19.51,21.36,19.65,18.60,14.43,8.58,1.30,-2.35,10.02,20.17,13.87,10.43
1947,0.09,-1.58,2.92,8.18,13.62,18.30,23.29,22.62,17.95,16.19,4.88,-1.10,-0.06,8.24,21.40,13.01,10.65
1948,-5.03,-3.07,3.10,8.64,12.53,17.34,23.38,22.93,18.49,12.14,9.57,2.14,-3.07,8.09,21.22,13.40,9.91
1949,1.24,1.11,3.74,10.23,15.51,21.75,24.35,23.33,17.10,14.40,6.17,2.41,1.50,9.83,23.14,12.56,11.76
1950,2.08,-2.49,0.68,7.90,12.94,20.33,22.81,21.32,16.12,13.26,8.50,1.71,0.67,7.17,21.49,12.63,10.49
1951,0.85,1.25,3.66,10.28,14.79,18.63,23.06,21.22,18.37,12.39,5.62,1.39,1.27,9.58,20.97,12.13,10.99
1952,0.06,0.02,2.60,9.99,13.73,21.20,25.01,22.10,18.81,11.39,6.89,1.75,0.49,8.77,22.77,12.36,11.10
1953,1.23,1.39,3.63,9.12,14.39,21.10,22.60,21.93,18.79,13.15,8.92,4.25,1.46,9.05,21.88,13.62,11.50
1954,-3.64,2.16,3.49,9.77,13.22,18.94,22.01,20.90,17.05,14.51,6.60,1.02,0.92,8.83,20.62,12.72,10.77
1955,-2.23,-0.28,2.83,9.27,16.80,19.05,24.81,23.34,17.74,12.57,5.21,-3.29,-0.50,9.63,22.40,11.84,10.84
1956,-1.06,-0.01,0.55,7.23,12.73,20.20,21.76,21.84,15.88,12.12,7.53,1.91,-1.45,6.84,21.27,11.84,9.62
1957,-5.10,1.17,3.60,9.34,15.16,21.52,23.08,20.43,19.29,12.22,8.09,4.11,-0.67,9.37,21.68,13.20,10.89
1958,-0.88,-3.92,3.62,9.00,13.34,17.42,22.14,22.12,17.79,11.16,7.77,-3.45,-0.23,8.65,20.56,12.24,10.31
1959,-2.13,-3.25,2.44,9.08,16.68,17.81,23.39,23.07,19.74,12.48,6.58,2.05,-2.94,9.40,21.42,12.93,10.20
1960,-0.92,1.49,0.07,8.74,15.06,20.55,22.51,22.03,17.30,11.82,8.56,-1.74,0.87,7.96,21.70,12.56,10.77
1961,-4.23,-0.56,2.34,7.03,13.17,20.18,21.97,22.16,20.18,13.70,6.69,0.11,-2.18,7.51,21.44,13.52,10.07
1962,-2.17,-3.26,3.26,9.30,13.66,19.88,20.96,20.74,16.85,11.95,5.03,-1.44,-1.77,8.74,20.53,11.28,9.69
1963,-1.76,-3.72,3.57,9.03,14.88,20.45,23.36,20.99,15.67,15.19,8.68,-3.78,-2.31,9.16,21.60,13.18,10.41
1964,-0.27,-1.73,3.60,7.74,15.59,19.35,21.83,19.02,16.56,11.28,6.59,0.12,-1.93,8.98,20.07,11.48,9.65
1965,-3.79,-2.36,1.99,6.65,15.15,19.54,21.56,21.26,16.84,11.44,5.53,2.16,-2.01,7.93,20.79,11.27,9.49
1966,-1.89,-0.52,4.18,7.58,13.90,20.65,23.71,21.68,17.40,12.35,8.12,1.08,-0.08,8.55,22.01,12.62,10.78
